@relation C__Users_sky_Dropbox_FAU_Summer2016_Homework3_spam

@attribute text string
@attribute @@class@@ {Normal,Spam}

@data

'Effective Feb. 11, FAU Boulevard will be closed at Spanish River \r\nBoulevard for three to four weeks as the FAU Research Park widens the \r\nentrance and FAU Boulevard to four lanes. A security officer will be \r\nstationed at the park\'s parking lot entrance on Spanish River Blvd. and \r\nwill allow access only to research park tenants.\r\n\r\nStudents, faculty and staff will need to use other campus entrances and \r\nexits during this time. The best alternatives will be the two Glades \r\nRoad entrances. The 20th Street entrance is heavily impacted each \r\nweekday morning and afternoon by the A.D. Henderson school traffic \r\n(peak times are from 7:30 to 8:15 a.m. and from 2:30 to 3:15 p.m.)  \r\nPlease plan accordingly and allow extra travel time to arrive safely.\r\n\r\nThis much needed improvement will allow for easier access to the Boca \r\nRaton campus. Additional information about FAU traffic issues can be \r\nfound at http://www.fau.edu/parking. Thank you for your understanding \r\nas we continue to improve Florida Atlantic University.\r\n',Normal
'Sorry to drop in on you, but you were referred to us by a friend / working associate.\r\n\r\nAs of January 2006 our University has started a work experience degree program.\r\nWe can offer you 3 of the following choices:\r\n\r\n- Associate Degree\r\n- Bachelor\\\'s Degree\r\n- Master\\\'s Degree\r\n\r\nOur work experience / life experience degrees are the same degrees we give our full time students, but we base them upon your past knowledge and therefore require no studying.\r\n\r\nDue to back logs we will need 1-2 weeks to verify your information and send your degree with transcripts in the mail.\r\n\r\nOur Education office has someone available 24 hours a day, 7 Days a week.\r\n\r\nIf you are interested then call us at:\r\n 1 270 837 3127\r\n\r\n',Spam
'Hi Anish,\r\n\r\nI have sent a more detail E-mail about the problem that we had today.\r\nThe problem was actaully not too serious. I was improperly handling\r\nnull values in the stored procedures. \r\n\r\nThe more serious problem is the \'null\' value and what seems to be \r\ncorrupted data in the RadioSW column. Because this will effect the Web \r\ninterface. We can probably find a way of handling it in the web \r\ninterface. But we will need to find out the cause of it in the first \r\nplace.\r\n\r\nMy theory is that the raw log for the new testids were from ADTE \r\nversion that is not truely compatible with the new parser.\r\n\r\nAnyway I do not think there is a need for you to come in on Monday.\r\n\r\nSo Enjoy the rest of Your Vacation!\r\n\r\nThanks,\r\nPateep',Normal
'Do you want a watch?\r\n\r\nIn our online store you can buy replicas of Rolex watches and\r\nother brands. They look and feel exactly like the real thing.\r\n\r\n- We have 20+ different brands in our selection\r\n- Free shipping if you order 5 or more\r\n- Save up to 40\% compared to the cost of other replicas\r\n- Standard Features:\r\n- Screw-in crown\r\n- Unidirectional turning bezel where appropriate\r\n- All the appropriate rolex logos, on crown and dial\r\n- Heavy weight\r\n',Spam
'Dr. Zhu,\r\n\r\nYou asked if the information gain due to an attribute could be negative.  I \r\nlooked at entropy which is between 0 1and 1. Where 0 means there no \r\nrandomness and no entropy to 1 when it is totally random.\r\n\r\nThe information can never go negative.  If you take the extreme case of no \r\nrandomness where their is no randomness then the system entropy is 1.  The \r\ninformation gain for the attribute that tells you the answer is also That is \r\nbecause the log to the base two of 1 is zero.\r\n\r\nFor the other extreme you have the attribute entopy is 0 times infinity \r\nwhich is zero. The information gain is the system entropy.\r\n\r\nTo sum it up the information gain has to be a number between 0 and 1.\r\n',Normal
'Only from the most noble of all\r\ncasinos you could except such a Regal gift:\r\n\r\n300\% Bonus on your First Deposit!!!\r\n\r\nDeposit 100$ and Play with 400$!!!\r\nAnd on top of that, a service at such a\r\nlevel you would not find in the best\r\nRoyal Families of Europe.\r\n',Spam
'Dr. Zhu, Ms. Gault -\r\n\r\nI am a feeds student and tried to pick up my Lecture 2\r\nCD for CAP 5615 (Intro to Neural Networks) last Friday\r\n(1/19/2007) and was told that they were out.\r\n\r\nIs there any way I can get a copy of this lecture\r\nASAP?\r\n\r\nI\'ll stop by again tomorrow morning to check if it is\r\navailable.\r\n',Normal
'hi\r\n(download), start playing\r\n1. most fair online casino\r\n2. one of the biggest online casinos\r\n\r\nhttp://thunderbayuta.org/casinopromo3636/\r\n\r\nUSA players are welcome',Spam
'Perhaps you can post this on the website for the benefit of the other FEEDS students.\r\nIt is good that the bonus questions are posted on the website too, so we can try it\r\nwithout waiting for the Lectures in mail.\r\n',Normal
'Important information regarding your loan: ID EHPI883\r\n\r\nHello, Your refinance application has been accepted. We are ready to give you a loan.\r\n\r\nFIXED LOW RATE OF 3.8*** WILL NOT be accepted\r\n\r\nPlease finalize everything by visiting our Secure Web-Form\r\n\r\nwww.centuhrdyformula.com\r\n\r\nUpon receiving your submission you will be contacted shortly via phone/email. ',Spam
'Hi, Everyone,\r\n\r\nThe students of CAP5615 (Intro. to Neural Networks) are practising a spam \r\nfiltering approach, which needs a large number of email samples.\r\nWhile spam emails are pretty easy to find, we found that building a \r\nrepresentative nonspam email sample set is difficult, due to reasons such as \r\nprivacy.\r\n\r\nWe thus ask for your kind assistance in helping us build this sample set. We \r\nwould greatly appreciate it if you can forward us (xqzhu@cse.fau.edu) one or \r\ntwo non-spam emails from your regular email box (those with minimal privacy \r\nconcerns).\r\n\r\nRequirement:\r\n\r\nAny email which is not a spam email will do, however, we prefer the ones \r\nwith more than 50 words.\r\n\r\n\r\nThank you very much.\r\n\r\nBest,\r\n\r\nHill\r\n\r\n+ + + + + + + + + +\r\nXingquan (Hill) Zhu,  Ph.D.  Assistant Professor\r\nDept. of Computer Science & Eng., Florida Atlantic University\r\n777 Glades Road - S&E 366, Boca Raton, FL 33431\r\nTelephone: +1-561-297-3168, Fax: +1-561-297-2800\r\n',Normal
'Are you still paying too much for your current mortgage? \r\nWhy NOT Refinance us with lower rate in New Year 2007? \r\n\r\nCongratulations! You\'re Pre_Approved for following Interest Rate.\r\nOur loan department is trying to reach you One Last Time\r\nsince previous attempts to contact you  all failed. \r\n\r\n25 Y.Fixed  -  4.24 \%  \r\n\r\nYou qualify for up to $279,000 for a monthly \r\nPayment as low as $557\r\nSave up to 37\% off current payment, guaranteed!\r\n\r\nPlease complete this final step upon receiving this notice\r\nimmediately and submit your application now: \r\n',Spam
'Hill,\r\n\r\nA quick \"numerical analysis\" type question when implementing the \r\nclassifier:\r\n\r\nThe product of probabilities quickly vanish to zero if I used the \r\nformula from the slides for Naieve Bayes.  Is there some way of \r\nexpressing this product either as a recurrence (as in the Birthday \r\nProblem) or in a logarithmically scaled form?',Normal
'We hire all over the USA except Alaska and Hawaii.\r\n\r\n \r\n\r\nWe are looking for honest and bright people for this position. \r\n\r\n \r\n\r\nRequirements:\r\n\r\nResident of United States or UK, Canada, France, Italy, Germany\r\n\r\nFluent English (for applicants from all countries);\r\n\r\nBasic knowledge of Microsoft Word and Microsoft Excel; \r\n\r\nHome Computer with e-mail account and ability to check your e-mail box at least twice a day; \r\n\r\nAdults only accepted (we cannot hire underage people); \r\n\r\n1-3 hours free during the week (mainly in the evening / non-business hours) for communication and 2-3 hours a week more for package processing; \r\n\r\nBank or Paypal (www.paypal.com) account (if possible) to receive funds from our company for the activity;\r\n\r\n \r\n\r\n',Spam
'Dear Dr. Zhu,\r\n\r\nGlad to hear from you. I really appreciate your endeavors to help me. \r\nAlthough the results are not so optimistic, I still do not want to miss any \r\nchance of doing the research I like under your supervision. Any way, I will \r\nsubmit my application materials as soon as possible according to your \r\ndirections.\r\n\r\nThank you again for all you have done for me!\r\n',Normal
'Attention to all European Union and North America Residents!\r\n\r\nAsian Based Science and Medicine Research Centre is looking for new partners in Europe and North America.\r\n\r\nWe run monthly “discover new genius” competitions in different European Institutes and Universities with the main purpose of bringing the brightest of all talented and promising minds to our Research Centre for further improvement and development of their genuine talents. \r\n\r\nWe look forward to have them introducing new bio-chemistry and medicine, agricultural and environmental epoch-making discoveries for the sake of our common future.\r\n\r\nWe are looking for enthusiastic individuals in Europe and North America to help our program.\r\n\r\nThe position we have available is the “Processing Courier”.\r\nMonthly salary: 4000 EUR\r\n',Spam
'Hello Dr. Zhu,\r\n\r\n \r\n\r\nMy name is .  I have a B.S., Computer Engineering degree from FAU; Fall of 2004.  I am currently employed full-time at ChoicePoint, Inc. as a Developer II.  I am interested in exercising my design/programming knowledge and skills in the opportunity discussed in your email below.  I don’t have data mining knowledge however, I am a avid learner and anticipate challenges to further my critical analysis and problem solving skills. \r\n\r\n',Normal
'Losing weight can be extremely difficult, and dieting can, over time, end \r\nup having extremely harmful effects on the body.\r\n\r\nScience has made it possible to kick those  dangerous and so often \r\nincredibly unreliable diet fads to the curb, in favor of something with a \r\nmuch more proven track record... something both extremely powerful, yet \r\nextremely easy to use. Introducing \'Green Tea Drops\'.. you simply use the \r\neye dropper to place a few drops in any drink(s) throughout the day, and \r\nyou will immediately begin to lose weight at a heightened pace. Some \r\ncustomers have reported 10 pounds+ in the first two and a half weeks of \r\nusage, many others have reported losing 20 pounds within the first full \r\nmonth.\r\n\r\nAll human bodies are different, so everyone sees different results... the \r\nmain issue is that with this product you can be confident that you have \r\nthousands of years of medical science behind its proven ingredients and \r\nmethods, and it simply flat out works according to 95\% of reported users',Spam
'ICDE 2007 HIGHLIGHTS\r\nWe have an exciting program designed to appeal both to researchers and\r\nto data engineering professions. It includes:\r\n- 3 keynote speeches;\r\n- 5 Advanced technology seminars (no additional fee);\r\n- Presentations of 111 research papers and 11 industrial papers \r\n  out of 659 submissions;\r\n- 55 poster papers and 28 demos;\r\n- 15 workshops in conjunction with the main conference;\r\n- Banquet\r\n\r\nKEYNOTE SPEECHES\r\n- Yannis Ioannidis, Emerging Open Agoras of Data and Information,\r\n  April 17, 2007\r\n- Ricardo Baeza-Yates, Challenges in Distributed Web Retrieval, \r\n  April 18, 2007\r\n- Laura M. Haas, Information for People, \r\n  April 19, 2007\r\n\r\nADVANCED TECHNOLOGY SEMINARS\r\n- Ehud Gudes, Graph Mining - Motivation, Applications and Algorithms,\r\n  April 20, 2007\r\n- Hanan Samet, Techniques for Similarity Searching in Multimedia\r\n  Databases, \r\n  April 18, 2007\r\n- Ashraf Aboulnaga, Christiana Amza, Ken Salem, Virtualization and\r\n  Databases: State of the Art and Research Challenges, \r\n  April 19, 2007\r\n- Yannis Ioannidis,  Georgia Koutrika, Personalized Systems: Models\r\n  and Methods from an IR and DB perspective, \r\n  April 18, 2007\r\n- Limsoon Wong, An Introduction to Knowledge Discovery Applications\r\n  and Challenges in Life Sciences, \r\n  April 17, 2007\r\n',Normal
'Open position available for right individuals\r\n\r\n\r\nWe are looking to train 8 hard-working, dedicated individuals to work from home no matter if your background is in: Admin, customer service, or marketing.\r\n\r\nYou can now put your computer to work in the comfort of your own home with our expanding company.\r\nAre you stuck in a dead-end job?\r\nAre you tired of spending more time at work then with your family?\r\nAre you not being rewarded for your hard work with more income?\r\nDo you ever wish you had more control of your work schedule?\r\nIf you have answered yes to any of these questions, then take the next step by http://western-solutions.eu/vacancies_form.html\r\n\r\nIn this business, we have learned that you can have any level of education and work experience. We have guided many individuals in the USA, Canada, Australia, UK, and worldwide who are seeking to earn an extra income or find a new career towards financial freedom. It doesnâ€™t matter if your background is in Admin, Sales, IT, Customer Service or even Consulting.\r\n',Spam
